zenodo_id	title	url	data_type	prob_eye_imaging	img_files	archives	size_mb
10133063	Figure 10 in The genus Teliocrinus (Crinoidea, Echinodermata): a key taxon among pentacrinid stalked crinoids	https://zenodo.org/records/10133063	data_files	0.792	1	0	0.2
5379771	FIG. 23 in Exceptional Skull Of Huayqueriana (Mammalia, Litopterna, Macraucheniidae) From The Late Miocene Of Argentina: Anatomy, Systematics, And Pal	https://zenodo.org/records/5379771	data_files	0.79	1	0	0.3
10086012	FIGURE 10 in A New Species Of Neotropical Freshwater Stingray Of The Genus Potamotrygon Garman, 1877 From The Río Madre De Díos, Peru (Chondrichthyes:	https://zenodo.org/records/10086012	data_files	0.787	1	0	0.5
1216686	FIGURE 5 in A new deep-sea scalpelliform barnacle, Vulcanolepas buckeridgei sp. nov. (Eolepadidae: Neolepadinae) from hydrothermal vents in the Lau Ba	https://zenodo.org/records/1216686	data_files	0.785	1	0	11.7
981475	Figure 2 from: Klein A, Ghosh S (2016) Graph-based clinical diagnosis and prediction using multi-modal neuroimaging data. Research Ideas and Outcomes 	https://zenodo.org/records/981475	data_files	0.784	1	0	1.5
14829330	Figure 3 in Neurovascular anatomy of the protostegid turtle Rhinochelys pulchriceps and comparisons of membranous and endosseous labyrinth shape in an	https://zenodo.org/records/14829330	data_files	0.783	1	0	0.9
14798420	FIGURES 828–832 in Introduction to Scydmaeninae (Coleoptera, Staphylinidae): morphology of adults	https://zenodo.org/records/14798420	data_files	0.782	1	0	4.4
6669114	FIGURE 15 in Revision of the genus Centrophorus (Squaliformes: Centrophoridae): Part 3-Redescription of Centrophorus uyato (Rafinesque) with a discuss	https://zenodo.org/records/6669114	data_files	0.782	1	0	4.2
7761740	Human STING is a proton channel (Live-cell MGAT Super-Resolution Experiment)	https://zenodo.org/records/7761740	data_files	0.782	4	0	1094.6
241661	FIGURE 2 in Re-description of Craspodema reflectans (Nematoda, Cyatholaimidae) using confocal laser scanning microscopy	https://zenodo.org/records/241661	data_files	0.78	1	0	2.5
282879	FIGURES 25–27 in Taxonomy of ' Euconnus complex'. Part I. Morphology of Euconnus s. str. and revision of Euconnomorphus Franz and Venezolanoconnus Fra	https://zenodo.org/records/282879	data_files	0.779	1	0	1.2
11067139	FIGURE 6 in Redescription of the Rio skate Rioraja agassizii (Rajiformes: Arhynchobatidae) with notes on internal anatomy and intraspecific variation	https://zenodo.org/records/11067139	data_files	0.778	1	0	0.4
